,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval)
22,cubicmnzAbs,0.4170404997907823,0.6350268036837285,0.21798630389294626,4.7993511116843886e-14,0.16096508664882112,0.3487217373832894,0.18775665073446826,2.3433852019027647e-10,0.482,0.45799999999999996,-0.02400000000000002,0.39436341731546387,0.31990807857284426,0.34340145085601437,0.02349337228317011,0.22080744407618877
23,PM_IBI_run2,0.3479021818062412,0.6549621019389226,0.30705992013268135,2.223319242170745e-18,0.14458536450898488,0.3412369915664087,0.1966516270574238,3.346645429693618e-11,0.48800000000000004,0.498,0.009999999999999953,0.7489276027687682,0.2576055139891802,0.32947492653038735,0.07186941254120716,0.009017755876675693
24,IKMLAB_5,0.12139005317333262,0.6150508857157247,0.4936608325423921,1.4156934180251165e-23,0.02451552318361911,0.2931654190342284,0.2686498958506093,2.0832990070738286e-14,0.15200000000000002,0.36199999999999993,0.2099999999999999,6.339342291679491e-08,0.10782841008959837,0.2981798601880889,0.19035145009849053,2.5262475261434334e-07
25,method_fu,0.531669452483129,0.6971723467570428,0.16550289427391374,1.6757277656530064e-11,0.224490894653925,0.3895977989669516,0.16510690431302663,1.3510605646430309e-08,0.498,0.524,0.026000000000000023,0.3691930994809197,0.4078363086457315,0.3729538090462872,-0.03488249959944428,0.112885373626437
26,hpipubnone,0.658219722126419,0.7312425089585787,0.07302278683215968,9.534931502765676e-05,0.3266082853458719,0.4354644107755899,0.10885612542971801,0.00010568745562618834,0.7099999999999999,0.61,-0.09999999999999987,0.00060014867922261,0.529187326907794,0.4195797586716776,-0.10960756823611639,1.578145036102226e-06
27,PM_IBI_run3,0.296439319910349,0.6490580007311567,0.3526186808208077,2.197098212397221e-21,0.1053067806048838,0.33513186833957775,0.22982508773469396,5.14380715214326e-14,0.19,0.47800000000000004,0.28800000000000003,3.6109121243778827e-08,0.23699318526164068,0.32537757948425133,0.08838439422261066,0.0009646593181725017
28,RSA_DSC_LA_3,0.5438509441176124,0.7103945899164035,0.1665436457987911,1.3648124873599827e-08,0.24086135437547576,0.406513473595657,0.16565211922018122,3.2149440959791194e-07,0.5479999999999999,0.5539999999999999,0.006000000000000005,0.8638485622839889,0.45217312302614837,0.39107667002104696,-0.061096453005101414,0.014071141505887313
29,ECNU_S_Run3,0.013357249766142214,0.5524692570014065,0.5391120072352643,9.411711145949705e-31,0.0010763769257528559,0.2483206665380326,0.24724428961227973,1.3495243267319921e-15,0.016,0.228,0.21200000000000002,6.172669130028514e-10,0.009987794905652074,0.2520790211597641,0.24209122625411203,8.774523248834822e-12
30,PM_IBI_run1,0.36646273992731926,0.6574564435092972,0.29099370358197796,6.81593684300254e-17,0.17181222431340606,0.3446106429299448,0.17279841861653875,2.827896733526773e-09,0.546,0.508,-0.038000000000000034,0.22450915854137643,0.2709668171567022,0.33261675274660574,0.06164993558990356,0.029229402802029406
31,KL18absHY,0.5272285998833351,0.6821515841238032,0.15492298424046802,1.6796879461590919e-09,0.2298784430154993,0.3819600142547085,0.15208157123920918,1.1567747364115536e-07,0.534,0.494,-0.040000000000000036,0.2357206807000065,0.4003137944246694,0.3664555547755374,-0.03385823964913204,0.07604480866119892
32,SINAI_FU,0.5693076412241908,0.7121909942274387,0.14288335300324795,2.104766680255296e-09,0.24359364166030598,0.40405454835144605,0.16046090669114008,1.6629033290435958e-08,0.4860000000000001,0.556,0.06999999999999995,0.060247874325973914,0.4267566811364302,0.38645559729682494,-0.04030108383960529,0.03160022341391396
33,mayomedcreat,0.29636724629634725,0.6203214193438982,0.3239541730475509,1.7751333111714892e-21,0.07855111207508368,0.33249495654296224,0.25394384446787854,1.4017012288023475e-16,0.306,0.462,0.15600000000000003,3.0484170662031912e-05,0.24649713274606025,0.32563755120934884,0.07914041846328859,1.5658954764762004e-05
34,elastic_run,0.3049579116479231,0.6151300902789179,0.3101721786309948,9.96007669190893e-17,0.10443393290977837,0.32518779375098206,0.2207538608412037,7.091300861766477e-12,0.38199999999999995,0.43599999999999994,0.05399999999999999,0.16432079140789307,0.2401620170797986,0.32525396951537416,0.08509195243557557,0.0005508335883499483
35,UDInfoPMSA1,0.6038966453535373,0.7060276870916204,0.10213104173808318,3.430086728121096e-05,0.2830737897645406,0.39894980722408135,0.11587601745954074,5.8700531110576265e-05,0.5740000000000001,0.536,-0.038000000000000034,0.1894367630021379,0.45084806784258386,0.38331238328494754,-0.06753568455763631,0.002188807670892618
36,IKMLAB_3,0.5488139266042672,0.6996021999095547,0.15078827330528755,4.784180235044275e-10,0.2422650489318375,0.3941083079303745,0.15184325899853698,3.091260080803262e-06,0.5980000000000001,0.5599999999999999,-0.038000000000000145,0.24706326468486292,0.4502997142993576,0.3846743409473648,-0.06562537335199281,0.007156302944666255
37,raw_medline,0.5790526724523188,0.7161402108188061,0.13708753836648724,9.766711245044264e-09,0.25455233848922565,0.40399901343981504,0.1494466749505894,8.120384742714081e-08,0.524,0.528,0.0040000000000000036,0.8938568234002482,0.43136752127826994,0.38530289619490155,-0.04606462508336839,0.020713978232458893
38,UCASSA2,0.6375781246652985,0.7217445109841981,0.08416638631889961,1.0723734733017224e-05,0.319507179098767,0.4176706994245912,0.09816352032582415,0.0002035047920464404,0.568,0.564,-0.0040000000000000036,0.895279986387397,0.4851692209254573,0.3990826165694601,-0.08608660435599719,3.8100351360663245e-05
39,mnzAbs,0.4170404997907823,0.6350268036837285,0.21798630389294626,4.7993511116843886e-14,0.16096508664882112,0.3487217373832894,0.18775665073446826,2.3433852019027647e-10,0.482,0.45799999999999996,-0.02400000000000002,0.39436341731546387,0.31990807857284426,0.34340145085601437,0.02349337228317011,0.22080744407618877
40,ECNU_S_Run5,0.012538639154673757,0.5559011686633665,0.5433625295086927,2.5644031095028506e-30,0.0006704558618662207,0.2540830596422593,0.2534126037803931,1.4713452355213207e-15,0.006000000000000001,0.226,0.22,4.802125016649813e-10,0.009602496067620037,0.2562617063335803,0.24665921026596027,5.940690435330699e-12
41,UVAEXPBSTNEG,0.19462866922909763,0.5956682442573886,0.401039575028291,1.0267984038697742e-23,0.07853773862093341,0.28707559998147053,0.20853786136053712,7.394167082393451e-11,0.6240000000000001,0.36599999999999994,-0.2580000000000002,2.2946034648161936e-11,0.10225422600967471,0.27215624423073126,0.16990201822105655,1.4505652505096037e-06
42,IKMLAB_4,0.5320946729076078,0.6943568789329041,0.16226220602529629,1.9862390556775852e-11,0.22429630079132898,0.3881045122488576,0.16380821145752864,4.1852276856051204e-07,0.51,0.5660000000000001,0.05600000000000005,0.047732462737316246,0.4398909614219337,0.38114086419178994,-0.05875009723014374,0.013922691601761432
43,MSIIP_PBAH,0.5353618039012993,0.7112637215369603,0.175901917635661,9.618804675850758e-10,0.2446765538123372,0.4119683819789972,0.16729182816666002,1.0022409773931817e-06,0.66,0.6200000000000001,-0.039999999999999925,0.24408649656342168,0.445769794899628,0.3905057092527894,-0.0552640856468386,0.03903173297737034
44,aCSIROmedAll,0.3887896634253927,0.6762336833164063,0.28744401989101365,1.0591288185746507e-18,0.1437313559710359,0.3462854331071093,0.2025540771360734,5.722481284715639e-11,0.524,0.5179999999999999,-0.006000000000000116,0.8241985660385198,0.2917160484500587,0.33559838156748933,0.043882333117430616,0.03830964734708838
45,aCSIROmedNEG,0.3563993005889594,0.6626863241812877,0.3062870235923283,3.8360050904707787e-20,0.12064091326113052,0.3408021399929189,0.2201612267317884,5.022144085574274e-12,0.48399999999999993,0.48,-0.003999999999999948,0.8826101821002631,0.2812450048663445,0.3304503276074704,0.04920532274112588,0.012833869019538077
46,SINAI_FUO,0.38440040961303873,0.6578029789162634,0.27340256930322465,4.449375237874013e-24,0.05924020048347249,0.3351965177415608,0.2759563172580883,6.022859932493105e-16,0.11,0.4099999999999999,0.29999999999999993,6.232735381267793e-15,0.2900840928908938,0.33221132231201034,0.04212722942111652,0.004583707420994525
47,KLPM18T2Bl,0.4826326907702908,0.6715392911445283,0.18890660037423745,5.954702884419438e-10,0.21440092582142864,0.37580476892221093,0.1614038431007823,6.632429868423484e-09,0.5,0.51,0.010000000000000009,0.7478965085143998,0.3774873405769327,0.36296938034899645,-0.014517960227936222,0.454045527711076
