,System,nDCG (base),nDCG (rrf),nDCG (delta),AP (base),AP (rrf),AP (delta),P@10 (base),P@10 (rrf),P@10 (delta)
81,mayonlppm3,0.36169937313115014,0.36316082860951066,0.0014614554783605183,0.10853481970656541,0.1409376588864568,0.03240283917989138,0.41,0.3433333333333334,-0.0666666666666666
82,UD_GU_SA_3,0.46052405753834763,0.46625318787119013,0.0057291303328425025,0.18055702321267592,0.22023144430174776,0.03967442108907185,0.5966666666666668,0.5033333333333333,-0.09333333333333349
83,ECNU_M_3,0.4088254646361731,0.4217310859662743,0.012905621330101202,0.1272181326854862,0.1708337928430697,0.0436156601575835,0.33999999999999997,0.34666666666666673,0.006666666666666765
84,eth_a_gws,0.32234636167793435,0.39610817978660035,0.073761818108666,0.061193444351146466,0.1325638420149298,0.07137039766378334,0.15,0.3,0.15
85,UKY_MAN,0.4431405531208334,0.46155881541521937,0.01841826229438598,0.16080993509110317,0.20894449204802376,0.04813455695692059,0.48666666666666664,0.49000000000000005,0.0033333333333334103
86,UKY_COM,0.36080189595691914,0.3940722258237091,0.03327032986678996,0.12040692269109964,0.1678989497189777,0.04749202702787807,0.38333333333333325,0.41333333333333333,0.030000000000000082
87,mugpubshould,0.38358930269320357,0.39835743661841644,0.014768133925212867,0.1219749187091809,0.16412510870924513,0.04215019000006423,0.45666666666666667,0.38999999999999996,-0.06666666666666671
88,mRun5MRFBow,0.3513321633876861,0.40085271991195587,0.04952055652426979,0.09668255160126944,0.15860970504733626,0.06192715344606682,0.2966666666666667,0.3433333333333334,0.04666666666666669
89,aCSIROmedMCB,0.33459812996253635,0.36418510162359197,0.029586971661055617,0.09283636214858025,0.1353754903152997,0.04253912816671944,0.32333333333333336,0.3433333333333333,0.019999999999999962
90,medline3,0.45785248845161136,0.4626283529997943,0.004775864548182962,0.1647307417207698,0.2026162372446202,0.0378854955238504,0.45000000000000007,0.3933333333333333,-0.056666666666666754
91,udelT1Gene,0.4284059772078209,0.43840387411833354,0.009997896910512616,0.1306733416217371,0.1773477284144446,0.046674386792707495,0.38333333333333336,0.3566666666666667,-0.026666666666666672
92,UTDHLTSF,0.5477926690500294,0.5375067457841111,-0.010285923265918373,0.22493513391434836,0.2508964112463175,0.02596127733196915,0.61,0.47666666666666657,-0.13333333333333341
93,eth_a_ws_q,0.3919319320698072,0.41942720963397784,0.02749527756417064,0.10527823612010244,0.15911804263387863,0.05383980651377619,0.30999999999999994,0.33,0.020000000000000073
94,Ontological,0.3696212274769054,0.39446063911873047,0.02483941164182507,0.10998091863796258,0.15566328173402214,0.04568236309605955,0.42000000000000004,0.41333333333333333,-0.00666666666666671
95,kkseabs4,0.09244324002110793,0.12080705466008075,0.02836381463897282,0.012449472001728742,0.027717701631048697,0.015268229629319955,0.12666666666666668,0.21333333333333335,0.08666666666666667
96,udelT1Base,0.4490133858793088,0.44967894274284675,0.0006655568635379749,0.1509112394556315,0.18943128438163878,0.038520044926007274,0.40333333333333327,0.37,-0.03333333333333327
97,eth_a_nn,0.39649159521405597,0.4165949191065323,0.02010332389247632,0.10122673564685426,0.15383710237682283,0.05261036672996856,0.31666666666666665,0.3266666666666667,0.010000000000000064
98,mugpubboost,0.49318247295693307,0.4912234612842176,-0.0019590116727154494,0.20400511050658568,0.24176030878339339,0.037755198276807705,0.6266666666666667,0.5066666666666666,-0.1200000000000001
99,UCASSEM3a,0.46671377482119836,0.468341924679117,0.0016281498579186482,0.1555886343573944,0.19702434236431351,0.04143570800691912,0.42666666666666675,0.32333333333333336,-0.10333333333333339
100,mRun4MRFrf,0.3990720012861372,0.39961360248380445,0.0005416011976672741,0.15524117118454359,0.18566315972338002,0.03042198853883643,0.4366666666666667,0.36000000000000004,-0.07666666666666666
101,SDSFU_PU_SA,0.3418637321681109,0.37019705851976364,0.028333326351652754,0.0909258904485682,0.13764077115488105,0.04671488070631284,0.3166666666666667,0.31999999999999995,0.0033333333333332438
102,mayonlppm4,0.3153136974495194,0.33255499101772124,0.01724129356820181,0.08167513608112216,0.12203848164699767,0.04036334556587551,0.3966666666666666,0.31333333333333335,-0.08333333333333326
103,KISTI01,0.4101587236889413,0.41109615178430897,0.0009374280953676761,0.12795185623729907,0.16492885867274112,0.03697700243544205,0.36,0.32,-0.03999999999999998
104,udelT1Comb,0.44443427866193813,0.4451658335045516,0.0007315548426134466,0.14638600845910835,0.18475837205195972,0.03837236359285137,0.41666666666666663,0.36666666666666664,-0.04999999999999999
105,pms_run2_abs,0.251530594881416,0.2912253488999903,0.03969475401857431,0.062242874675452906,0.10782368216616714,0.045580807490714234,0.25333333333333335,0.2933333333333333,0.039999999999999925
106,UCASBASEa,0.48580925140454023,0.4868401606100088,0.0010309092054685554,0.17524200985236194,0.21155788484228305,0.036315874989921115,0.44000000000000006,0.3566666666666667,-0.08333333333333337
107,MedIER_sa2,0.23114775410763272,0.2480818413324864,0.016934087224853678,0.07170619907503564,0.09509809788855488,0.023391898813519232,0.3033333333333333,0.31,0.00666666666666671
108,medline4,0.3990956756867106,0.40865191612781226,0.009556240441101649,0.13074467120205754,0.17461351694088142,0.04386884573882388,0.38666666666666666,0.33333333333333326,-0.0533333333333334
109,UKY_BASE,0.44226621619367606,0.46201102005995964,0.019744803866283578,0.16363376621219197,0.20773651202863389,0.04410274581644191,0.4666666666666667,0.4866666666666666,0.019999999999999907
110,UDInfoPMSA5,0.3401996623459944,0.349531202280217,0.009331539934222588,0.11381204063322072,0.1422132112468334,0.028401170613612678,0.35666666666666663,0.31666666666666665,-0.03999999999999998
111,UTDHLTSQ,0.30474803678290996,0.33525515160488667,0.03050711482197671,0.08238172590863618,0.12051721596111012,0.038135490052473936,0.24000000000000002,0.26666666666666666,0.026666666666666644
112,Gwave,0.038220560637361685,0.046722953901600535,0.00850239326423885,0.0037601680443144023,0.007456750653555469,0.003696582609241067,0.07,0.10666666666666667,0.03666666666666667
113,MedIER_sa3,0.21709210009702445,0.23346851044335395,0.0163764103463295,0.05901882398461912,0.08691865359083771,0.02789982960621859,0.2933333333333333,0.3,0.00666666666666671
114,GP16Medline,0.057992373420002276,0.06808183564123824,0.01008946222123596,0.0112997829481981,0.01924742911781645,0.007947646169618352,0.08,0.09333333333333335,0.01333333333333335
115,kkseabs1,0.236452912085818,0.2647046506374596,0.02825173855164162,0.04907843438514741,0.09350772109988269,0.044429286714735276,0.2866666666666667,0.32,0.033333333333333326
116,udelT1GeMeSH,0.43431974498828363,0.44317609046717543,0.008856345478891803,0.13672228367740147,0.1818566429618225,0.04513435928442103,0.3899999999999999,0.3633333333333334,-0.026666666666666505
117,UCASSEM1a,0.4700168379930158,0.48001674852815085,0.009999910535135048,0.15999128533571616,0.20468600063806544,0.04469471530234928,0.41666666666666663,0.3433333333333334,-0.07333333333333325
118,cbnuSA1,0.4186063997752969,0.4155450676807134,-0.00306133209458348,0.15244127195865115,0.18010185150179794,0.027660579543146796,0.46333333333333326,0.35333333333333333,-0.10999999999999993
119,ielabRun22,0.05755147529684171,0.07324775654498906,0.015696281248147356,0.006322675062329599,0.011704984297548415,0.005382309235218816,0.07000000000000002,0.1,0.029999999999999985
120,UWMSOIS5,0.44909782311927876,0.4486300423332082,-0.0004677807860705707,0.14395819913465854,0.18037149704700894,0.0364132979123504,0.3733333333333333,0.3533333333333334,-0.019999999999999907
121,mugpubbase,0.4955650816322388,0.49283235317900864,-0.0027327284532301377,0.20498150627325337,0.2433865587688245,0.038405052495571135,0.6199999999999999,0.5033333333333334,-0.11666666666666647
122,ECNU_M_2,0.41782502966122403,0.43525633252944906,0.01743130286822503,0.13564408332159317,0.18164055320619052,0.04599646988459735,0.39,0.3566666666666667,-0.033333333333333326
123,MedIER_sa4,0.25803656314192047,0.2782118523103229,0.020175289168402444,0.05538504262124698,0.09040546877322117,0.03502042615197419,0.28,0.31666666666666665,0.036666666666666625
124,ielabRun23,0.05689430865943365,0.0728894367909317,0.015995128131498046,0.006018942468916977,0.0114923873019256,0.005473444833008624,0.06666666666666667,0.1,0.03333333333333334
